Target	nG1	Fingerprint_type	Scaler	RF ACC	RF AUC	RF PR	RF SP	XGB ACC	XGB AUC	XGB PR	XGB SP	SVM ACC	SVM AUC	SVM PR	SVM SP	MLP ACC	MLP AUC	MLP PR	MLP SP
TRKA	20	ECFP6_512bits	Standard	Train 0.95 | Valid 0.98 | Test 0.99	Train 0.94 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.92 | Valid 0.98 | Test 0.99	Train 0.91 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.83 | Test 0.88	Train 1.00 | Valid 0.78 | Test 0.85	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.98 | Test 1.00	Train 0.98 | Valid 0.98 | Test 1.00	Train 1.00 | Valid 0.98 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00
TRKA	20	ECFP6_512bits	MinMax	Train 0.95 | Valid 0.98 | Test 0.99	Train 0.94 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.92 | Valid 0.98 | Test 0.99	Train 0.91 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.81 | Valid 0.90 | Test 0.98	Train 0.78 | Valid 0.87 | Test 0.97	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.89 | Valid 0.95 | Test 0.98	Train 0.87 | Valid 0.94 | Test 0.98	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	50	ECFP4_256bits	Robust	Train 0.99 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.97 | Valid 0.98 | Test 0.99	Train 0.96 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.97 | Test 0.95	Train 1.00 | Valid 0.97 | Test 0.95	Train 1.00 | Valid 0.96 | Test 0.92	Train 1.00 | Valid 0.97 | Test 0.95	Train 0.96 | Valid 0.95 | Test 0.97	Train 0.95 | Valid 0.94 | Test 0.97	Train 0.98 | Valid 0.94 | Test 0.96	Train 0.99 | Valid 0.96 | Test 0.97
TRKA	50	ECFP4_256bits	Standard	Train 0.99 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.97 | Valid 0.98 | Test 0.99	Train 0.96 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.96 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.92 | Valid 0.95 | Test 0.98	Train 0.91 | Valid 0.94 | Test 0.97	Train 0.96 | Valid 0.98 | Test 0.98	Train 0.98 | Valid 0.99 | Test 0.99
TRKA	50	ECFP4_256bits	MinMax	Train 0.99 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.97 | Valid 0.98 | Test 0.99	Train 0.96 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.83 | Valid 0.90 | Test 0.96	Train 0.79 | Valid 0.87 | Test 0.95	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.88 | Valid 0.91 | Test 0.98	Train 0.85 | Valid 0.88 | Test 0.97	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	50	ECFP4_512bits	Robust	Train 0.95 | Valid 0.97 | Test 0.99	Train 0.94 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.96 | Test 0.98	Train 1.00 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.98 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	50	ECFP4_512bits	Standard	Train 0.95 | Valid 0.97 | Test 0.99	Train 0.94 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.79 | Test 0.78	Train 1.00 | Valid 0.74 | Test 0.73	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	50	ECFP4_512bits	MinMax	Train 0.95 | Valid 0.97 | Test 0.99	Train 0.94 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.96 | Test 0.99	Train 1.00 | Valid 0.95 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.97 | Valid 0.95 | Test 0.99	Train 0.97 | Valid 0.93 | Test 0.99	Train 0.98 | Valid 0.98 | Test 1.00	Train 0.99 | Valid 0.99 | Test 1.00
TRKA	50	ECFP6_256bits	Robust	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.86 | Test 0.96	Train 1.00 | Valid 0.85 | Test 0.96	Train 1.00 | Valid 0.85 | Test 0.96	Train 1.00 | Valid 0.91 | Test 0.97	Train 0.96 | Valid 0.91 | Test 0.96	Train 0.95 | Valid 0.90 | Test 0.96	Train 0.99 | Valid 0.98 | Test 0.96	Train 0.99 | Valid 0.99 | Test 0.97
TRKA	50	ECFP6_256bits	Standard	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.96 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.95 | Valid 0.95 | Test 0.98	Train 0.95 | Valid 0.94 | Test 0.98	Train 0.96 | Valid 0.96 | Test 0.96	Train 0.97 | Valid 0.97 | Test 0.97
TRKA	50	ECFP6_256bits	MinMax	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.81 | Valid 0.84 | Test 0.97	Train 0.76 | Valid 0.80 | Test 0.96	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.95 | Test 0.99	Train 0.98 | Valid 0.93 | Test 0.99	Train 0.99 | Valid 0.98 | Test 1.00	Train 0.99 | Valid 0.99 | Test 1.00
TRKA	50	ECFP6_512bits	Robust	Train 0.96 | Valid 0.97 | Test 0.99	Train 0.95 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 0.96 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.97 | Test 0.98	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.99	Train 0.98 | Valid 0.97 | Test 0.98	Train 0.98 | Valid 0.96 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.99
TRKA	50	ECFP6_512bits	Standard	Train 0.96 | Valid 0.97 | Test 0.99	Train 0.95 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 0.96 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.99	Train 0.99 | Valid 0.98 | Test 0.98	Train 0.99 | Valid 0.97 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.99
TRKA	50	ECFP6_512bits	MinMax	Train 0.96 | Valid 0.97 | Test 0.99	Train 0.95 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 0.96 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.98 | Test 0.99	Train 0.98 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.98 | Test 0.99	Train 0.97 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	80	ECFP4_256bits	Robust	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.95	Train 1.00 | Valid 0.97 | Test 0.95	Train 1.00 | Valid 0.98 | Test 0.92	Train 1.00 | Valid 0.99 | Test 0.95	Train 0.97 | Valid 0.94 | Test 0.98	Train 0.96 | Valid 0.92 | Test 0.98	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	80	ECFP4_256bits	Standard	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.96 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.96 | Valid 0.96 | Test 0.98	Train 0.95 | Valid 0.95 | Test 0.97	Train 0.97 | Valid 1.00 | Test 0.98	Train 0.98 | Valid 1.00 | Test 0.99
TRKA	80	ECFP4_256bits	MinMax	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.97 | Valid 0.97 | Test 0.99	Train 0.96 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	80	ECFP4_512bits	Robust	Train 0.98 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.97	Train 1.00 | Valid 0.97 | Test 0.96	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.99	Train 0.99 | Valid 0.96 | Test 0.99	Train 0.99 | Valid 0.95 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
TRKA	80	ECFP4_512bits	Standard	Train 0.98 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.72 | Test 0.70	Train 1.00 | Valid 0.65 | Test 0.62	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.95 | Valid 0.96 | Test 0.98	Train 0.94 | Valid 0.95 | Test 0.98	Train 0.97 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00
TRKA	80	ECFP4_512bits	MinMax	Train 0.98 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.97 | Valid 0.97 | Test 0.99	Train 0.96 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
TRKA	80	ECFP6_256bits	Robust	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.88 | Test 0.95	Train 1.00 | Valid 0.86 | Test 0.95	Train 1.00 | Valid 0.89 | Test 0.94	Train 1.00 | Valid 0.94 | Test 0.96	Train 0.98 | Valid 0.92 | Test 0.98	Train 0.97 | Valid 0.90 | Test 0.98	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
TRKA	80	ECFP6_256bits	Standard	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.95 | Test 0.99	Train 1.00 | Valid 0.93 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 0.96 | Test 0.98	Train 0.99 | Valid 0.95 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.99
TRKA	80	ECFP6_256bits	MinMax	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.84 | Test 0.90	Train 1.00 | Valid 0.80 | Test 0.88	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.97 | Test 0.98	Train 0.98 | Valid 0.96 | Test 0.98	Train 0.98 | Valid 1.00 | Test 0.98	Train 0.99 | Valid 1.00 | Test 0.99
TRKA	80	ECFP6_512bits	Robust	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.98 | Valid 0.96 | Test 0.99	Train 0.98 | Valid 0.95 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
TRKA	80	ECFP6_512bits	Standard	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.68 | Test 0.65	Train 1.00 | Valid 0.60 | Test 0.57	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
TRKA	80	ECFP6_512bits	MinMax	Train 0.99 | Valid 0.98 | Test 0.99	Train 0.99 | Valid 0.97 | Test 0.99	Train 0.98 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.99	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.85 | Valid 0.84 | Test 0.97	Train 0.79 | Valid 0.79 | Test 0.96	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.96 | Test 0.99	Train 1.00 | Valid 0.95 | Test 0.99	Train 0.99 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00
BTK	20	ECFP4_256bits	Robust	Train 0.99 | Valid 0.97 | Test 0.98	Train 0.99 | Valid 0.96 | Test 0.98	Train 0.99 | Valid 0.98 | Test 0.98	Train 0.99 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.97	Train 1.00 | Valid 0.97 | Test 0.97	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.91 | Test 0.89	Train 1.00 | Valid 0.92 | Test 0.89	Train 1.00 | Valid 0.88 | Test 0.84	Train 1.00 | Valid 0.91 | Test 0.89	Train 0.96 | Valid 0.93 | Test 0.91	Train 0.96 | Valid 0.92 | Test 0.90	Train 0.96 | Valid 0.93 | Test 0.90	Train 0.97 | Valid 0.96 | Test 0.93
BTK	20	ECFP4_256bits	Standard	Train 0.99 | Valid 0.97 | Test 0.98	Train 0.99 | Valid 0.96 | Test 0.98	Train 0.99 | Valid 0.98 | Test 0.98	Train 0.99 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.97	Train 1.00 | Valid 0.97 | Test 0.97	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.98 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00	Train 0.97 | Valid 0.95 | Test 0.96	Train 0.96 | Valid 0.94 | Test 0.96	Train 0.98 | Valid 0.95 | Test 0.95	Train 0.99 | Valid 0.97 | Test 0.97
BTK	20	ECFP4_256bits	MinMax	Train 0.99 | Valid 0.97 | Test 0.98	Train 0.99 | Valid 0.96 | Test 0.98	Train 0.99 | Valid 0.98 | Test 0.98	Train 0.99 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.97	Train 1.00 | Valid 0.97 | Test 0.97	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.81 | Valid 0.82 | Test 0.90	Train 0.78 | Valid 0.77 | Test 0.88	Train 1.00 | Valid 0.97 | Test 1.00	Train 1.00 | Valid 0.99 | Test 1.00	Train 0.96 | Valid 0.96 | Test 0.95	Train 0.96 | Valid 0.96 | Test 0.95	Train 0.97 | Valid 0.97 | Test 0.95	Train 0.98 | Valid 0.98 | Test 0.97
BTK	20	ECFP4_512bits	Robust	Train 0.99 | Valid 0.97 | Test 0.97	Train 0.99 | Valid 0.96 | Test 0.97	Train 0.99 | Valid 0.97 | Test 0.95	Train 0.99 | Valid 0.98 | Test 0.97	Train 0.92 | Valid 0.91 | Test 0.91	Train 0.91 | Valid 0.89 | Test 0.91	Train 0.98 | Valid 0.94 | Test 0.89	Train 0.99 | Valid 0.97 | Test 0.92	Train 1.00 | Valid 0.94 | Test 0.92	Train 1.00 | Valid 0.94 | Test 0.92	Train 1.00 | Valid 0.93 | Test 0.90	Train 1.00 | Valid 0.96 | Test 0.93	Train 0.97 | Valid 0.96 | Test 0.94	Train 0.97 | Valid 0.96 | Test 0.94	Train 0.96 | Valid 0.95 | Test 0.90	Train 0.97 | Valid 0.97 | Test 0.93
BTK	20	ECFP4_512bits	Standard	Train 0.99 | Valid 0.97 | Test 0.97	Train 0.99 | Valid 0.96 | Test 0.97	Train 0.99 | Valid 0.97 | Test 0.95	Train 0.99 | Valid 0.98 | Test 0.97	Train 0.92 | Valid 0.91 | Test 0.91	Train 0.91 | Valid 0.89 | Test 0.91	Train 0.98 | Valid 0.94 | Test 0.89	Train 0.99 | Valid 0.97 | Test 0.92	Train 1.00 | Valid 0.68 | Test 0.69	Train 1.00 | Valid 0.61 | Test 0.61	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.94 | Valid 0.94 | Test 0.96	Train 0.94 | Valid 0.94 | Test 0.97	Train 0.96 | Valid 0.93 | Test 0.91	Train 0.98 | Valid 0.96 | Test 0.93
BTK	20	ECFP4_512bits	MinMax	Train 0.99 | Valid 0.97 | Test 0.97	Train 0.99 | Valid 0.96 | Test 0.97	Train 0.99 | Valid 0.97 | Test 0.95	Train 0.99 | Valid 0.98 | Test 0.97	Train 0.92 | Valid 0.91 | Test 0.91	Train 0.91 | Valid 0.89 | Test 0.91	Train 0.98 | Valid 0.94 | Test 0.89	Train 0.99 | Valid 0.97 | Test 0.92	Train 0.85 | Valid 0.88 | Test 0.90	Train 0.83 | Valid 0.85 | Test 0.89	Train 0.98 | Valid 0.98 | Test 0.89	Train 0.99 | Valid 0.99 | Test 0.93	Train 0.92 | Valid 0.91 | Test 0.91	Train 0.91 | Valid 0.90 | Test 0.91	Train 0.97 | Valid 0.93 | Test 0.86	Train 0.98 | Valid 0.96 | Test 0.90
BTK	20	ECFP6_256bits	Robust	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.98	Train 1.00 | Valid 0.97 | Test 0.98	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.99 | Valid 0.86 | Test 0.87	Train 0.99 | Valid 0.87 | Test 0.88	Train 0.99 | Valid 0.79 | Test 0.81	Train 0.99 | Valid 0.84 | Test 0.86	Train 0.95 | Valid 0.92 | Test 0.91	Train 0.95 | Valid 0.92 | Test 0.91	Train 0.95 | Valid 0.90 | Test 0.90	Train 0.96 | Valid 0.93 | Test 0.93
BTK	20	ECFP6_256bits	Standard	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.99	Train 1.00 | Valid 0.98 | Test 0.98	Train 1.00 | Valid 0.99 | Test 0.99	Train 1.00 | Valid 0.97 | Test 0.98	Train 1.00 | Valid 0.97 | Test 0.98	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 0.98 | Test 1.00	Train 1.00 | Valid 0.98 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 1.00 | Valid 1.00 | Test 1.00	Train 0.90 | Valid 0.90 | Test 0.93	Train 0.89 | Valid 0.89 | Test 0.93	Train 0.95 | Valid 0.93 | Test 0.92	Train 0.97 | Valid 0.96 | Test 0.95
